price,type,os,Ghz,Cpu,Ssd,graphics,ts_info,resolution,memory/ram,Brand,Links,graphics_quality
1379.0,Gaming,Windows 10,3.33,Ryzen 5,512,NVIDIA GeForce GTX 1650,0,1920x1200,64,Lenovo,https://www.newegg.com/p/2WC-000J-021Z8?Item=9SIBM7NJW18300,Medium
1609.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,40,ASUS,https://www.newegg.com/p/2WC-000N-09783?Item=9SIBM7NJW18018,Medium
1429.0,Gaming,Windows 10,3.33,Ryzen 5,2000,NVIDIA GeForce GTX 1650,0,1920x1200,32,Lenovo,https://www.newegg.com/p/2WC-000J-021Z5?Item=9SIBM7NJW18349,Medium
1639.0,Gaming,Windows 10,2.5,Intel Core i5,4000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GC2?Item=9SIBM7NJW21191,Medium
2469.0,Gaming,Windows 10,2.9,Ryzen 7,4000,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/2WC-000N-09G72?Item=9SIBM7NJW20894,High
1239.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09GD4?Item=9SIBM7NJW21206,Medium
2249.0,Gaming,Windows 10,2.9,Ryzen 7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09G80?Item=9SIBM7NJW20902,High
1379.0,Gaming,Windows 10,2.5,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GC7?Item=9SIBM7NJW21059,Medium
1529.0,Gaming,Windows 10,2.4,Intel Core i7,2000,Intel Iris Graphics,0,1920x1080,32,HP,https://www.newegg.com/p/2WC-0001-03T35?Item=9SIBM7NJW18182,Medium
1329.0,Gaming,Windows 10,3.33,Ryzen 5,1000,NVIDIA GeForce GTX 1650,0,1920x1200,32,Lenovo,https://www.newegg.com/p/2WC-000J-021X6?Item=9SIBM7NJW18196,Medium
1639.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,40,ASUS,https://www.newegg.com/p/2WC-000N-09767?Item=9SIBM7NJW18003,Medium
1209.0,Gaming,Windows 10,2.5,Intel Core i5,2000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,https://www.newegg.com/p/2WC-000N-09GE2?Item=9SIBM7NJW21205,Medium
1089.0,Gaming,Windows 10,2.5,Intel Core i5,512,NVIDIA GeForce RTX 3050,0,1920x1200,16,Acer,https://www.newegg.com/p/2WC-000K-01EG1?Item=9SIBM7NJW20073,Medium
1589.0,Gaming,Windows 10,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,24,ASUS,https://www.newegg.com/p/2WC-000N-09784?Item=9SIBM7NJW17995,Medium
1659.0,Gaming,Windows 10,2.5,Intel Core i5,4000,NVIDIA GeForce GTX 1650,0,1920x1080,64,ASUS,https://www.newegg.com/p/2WC-000N-09GG8?Item=9SIBM7NJW21189,Medium
1199.0,Gaming,Windows 11,2.3,Intel Core i5,1000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,https://www.newegg.com/p/1TS-001A-07C99?Item=9SIBB6JJ7U5304,Medium
1139.0,Gaming,Windows 11,2.7,Intel Core i5,1000,GeForce RTX 2050,0,1920x1080,64,ASUS,https://www.newegg.com/p/1TS-001A-09HK0?Item=9SIBMCUJWP0315,Medium
1049.99,Work / Business,Windows 11,2.9,Ryzen 5,256,AMD Radeon 660M,1,1920x1200,16,Lenovo,https://www.newegg.com/thunder-black-lenovo-thinkpad-t14-gen-3-21cf003uus-work-business/p/N82E16834646920?Item=9SIA24GJ452402,Medium
1231.44,Gaming,Windows 11,2.8,Ryzen 7,1000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,https://www.newegg.com/eclipse-gray-asus-rog-zephyrus-g14-ga401qh-ds71-ca-gaming/p/N82E16834236157?Item=9SIAFVFHEG9774,Medium
1235.44,Gaming,Windows 11,2.8,Ryzen 7,1000,NVIDIA GeForce GTX 1650,0,1920x1080,16,ASUS,https://www.newegg.com/eclipse-gray-asus-rog-zephyrus-g14-ga401qh-ds71-ca-gaming/p/N82E16834236157?Item=9SIAFVFHEG9774,Medium
1149.99,Work / Business,Windows 11,2.9,Intel Core i7,512,NVIDIA GeForce GTX 1650,0,1920x1080,16,MSI,https://www.newegg.com/pure-white-msi-prestige-14-a11sc-208ca-work-business/p/N82E16834156302?Item=9SIAD6HJ5Y9713,Medium
1742.18,Work / Business,Windows 11,1.7,Intel Core i7,512,Intel Iris Graphics,0,1920x1200,16,HP,https://www.newegg.com/hp-elitebook-1040-g9-6e5c7ut-aba-work-business/p/N82E16834273688?Item=9SIA24GJ0T7251,Medium
1039.0,Home / Personal,Windows 11,3.3,Ryzen 5,512,NVIDIA GeForce RTX 3050,0,1920x1080,32,Lenovo,https://www.newegg.com/p/1TS-000E-17DY5?Item=9SIB6HNJYD6764,Medium
1729.0,Gaming,Windows 10,2.3,Intel Core i5,2000,NVIDIA GeForce RTX 3050,0,1920x1080,64,ASUS,https://www.newegg.com/p/1TS-001A-07CK6?Item=9SIBB6JJ812234,Medium
1419.0,Gaming,Windows 11,2.3,Intel Core i7,1000,NVIDIA GeForce RTX 3050,0,1920x1080,32,MSI,https://www.newegg.com/p/1TS-0016-04Z14?Item=9SIB6HNJSE7895,Medium
1549.0,Gaming,Windows 11,2.9,Ryzen 7,512,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/1TS-001A-08T39?Item=9SIB6HNJNP2402,High
1759.0,Gaming,Windows 11,2.9,Ryzen 7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,64,ASUS,https://www.newegg.com/p/1TS-001A-08T45?Item=9SIB6HNJNP2409,High
1639.0,Gaming,Windows 11,2.9,Ryzen 7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/1TS-001A-08T48?Item=9SIB6HNJNP2411,High
1729.0,Gaming,Windows 11,2.9,Ryzen 7,2000,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/1TS-001A-08T47?Item=9SIB6HNJNP2410,High
1629.0,Gaming,Windows 11,2.9,Ryzen 7,2000,NVIDIA GeForce RTX 3060,0,1920x1080,16,ASUS,https://www.newegg.com/p/1TS-001A-08T35?Item=9SIB6HNJNP2398,High
1639.0,Gaming,Windows 11,2.9,Ryzen 7,1000,NVIDIA GeForce RTX 3060,0,1920x1080,32,ASUS,https://www.newegg.com/p/1TS-001A-08T43?Item=9SIB6HNJNP2407,High
